Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2000-01-03,58.89704132080078,58.89704132080079,56.80264556229503,57.0882427737896,10823694
2000-01-04,56.89781951904297,58.13541904492279,56.29488693616365,57.88155226772259,8606279
2000-01-05,58.89704132080078,60.80104299019654,56.92957900692141,57.34210966304237,13318927
2000-01-06,57.88154983520508,60.38847908984564,57.62768306867383,59.91247991557065,8338607
2000-01-07,57.62767028808594,59.88073227651416,56.16793873021079,59.53166656292013,12402108
2000-01-10,59.912506103515625,60.610637990689995,58.57970702259811,59.531705787269736,8933363
2000-01-11,60.420230865478516,61.49916290830902,59.21436540279233,59.84903250207074,8235472
2000-01-12,60.67408752441406,61.943417458098764,60.03942053162926,60.73755219775009,7116775
2000-01-13,60.03940200805664,61.4356689614019,58.770068414106404,60.89620117100213,8880226
2000-01-14,60.73756790161133,62.609835001434966,59.658635760858814,61.40396942930651,11460604
2000-01-18,58.77006530761719,60.80099895058574,58.38926930144403,60.7692645994435,7995519
2000-01-19,60.67408752441406,61.943417458098764,57.21515545265056,58.67488751011316,9031687
2000-01-20,60.420230865478516,63.33969547027362,60.420230865478516,62.451161531283844,18601436
2000-01-21,61.689579010009766,62.45117564943009,60.89624394359352,61.87997715689322,8230660
2000-01-24,61.689579010009766,62.38771095109777,59.1826444140964,61.87997715689322,6798163
2000-01-25,60.48368835449219,60.6740904875688,58.897022820984276,59.27782303525239,7255997
2000-01-26,59.277809143066406,60.89620866145089,58.89700901804157,60.451943874864,5120275
2000-01-27,57.62767028808594,60.134598986743185,56.675672150668845,59.912466628263665,8707532
2000-01-28,56.64395523071289,57.97675384363327,55.882354865648445,57.24688784008437,6976192
2000-01-31,56.99302673339844,57.27862791174055,55.660227987610554,56.54876183543087,6488024
2000-02-01,55.850643157958984,57.595977022859714,55.40637812408015,57.05650886581848,7640716
2000-02-02,57.62767028808594,58.80180078398255,56.041005375096276,56.86607015739885,8062254
2000-02-03,59.468223571777344,59.6586216478572,57.91328839229017,58.38929168625981,6499635
2000-02-04,58.70662307739258,60.13462080154744,58.294088510645956,60.00768740038579,5653944
2000-02-07,57.94504165649414,59.34130952676862,57.43730788548523,58.89704045119267,6045357
2000-02-08,60.388511657714844,60.483810887302724,59.05431027503643,59.435507193387934,5715658
2000-02-09,59.65787887573242,60.86501329534188,59.46727635591808,60.483812311862664,5621936
2000-02-10,60.54735565185547,60.54735565185546,59.403756533355,59.81672130431062,4651144
2000-02-11,58.641361236572266,60.706197499929665,58.22839236144049,60.515598976730836,6013872
2000-02-14,58.99079895019531,59.149633768764645,58.19663296965071,58.95903117525123,4753024
2000-02-15,59.53081512451172,59.68964583416915,57.878944106106914,58.895480117432946,5415665
2000-02-16,58.83196258544922,59.626132601273085,58.57782850487765,59.21316370630656,4149377
2000-02-17,59.3401985168457,60.42026574457692,58.83193063176072,59.213131545574456,5478425
2000-02-18,57.18009948730469,58.92727041070659,56.67183128732223,58.57783298110522,8026376
2000-02-22,56.41769027709961,57.65659284877404,55.27409102336226,56.925958414827655,8006921
2000-02-23,55.27407455444336,56.163539474300485,55.14700755787098,56.163539474300485,7777324
2000-02-24,56.16357421875,56.41770836910966,54.98820681545056,55.30587247532412,9531152
2000-02-25,54.892906188964844,55.845907201575464,53.336333541805416,55.845907201575464,10786561
2000-02-28,53.113948822021484,54.13048504741059,52.8280510507437,53.17748436418357,8869975
2000-02-29,52.22447204589844,53.653972752261375,51.3032352828437,53.653972752261375,10967205
2000-03-01,50.953800201416016,53.622203045755214,50.858500969007366,51.843269168245584,11304959
2000-03-02,52.4150505065918,53.59041676449424,50.572581740050055,51.080849545461305,11707773
2000-03-03,54.892906188964844,55.90943870954526,53.90813739429335,54.511704972690204,10630289
2000-03-06,52.38330078125,56.41767280485498,51.335001113951634,55.87764111787685,11241780
2000-03-07,52.3515625,54.38463556619729,51.68446344226785,53.87636729964797,10496715
2000-03-08,54.00339889526367,54.321064325129115,52.224465186948834,52.35152811397572,8761714
2000-03-09,54.892906188964844,54.892906188964844,52.92336859962185,54.130503756415564,6625469
2000-03-10,53.495174407958984,55.40117664738436,53.36810732158713,54.70230970041538,7419487
2000-03-13,54.73405075073242,55.40114958622022,52.09741506659418,52.85981315627304,8233066
2000-03-14,55.2105598449707,55.90942656154852,54.57522462255857,54.765827217357746,8340490
2000-03-15,54.384613037109375,55.01994810710542,53.939876460037105,54.63874706510779,5926531
2000-03-16,55.401123046875,55.81409169207503,54.8293237394929,55.401123046875,6927135
2000-03-17,55.909420013427734,56.7671214491922,54.734053031737766,55.01995486237612,9264736
2000-03-20,57.307159423828125,57.62482498131008,55.877658330933215,55.90942204737589,6865421
2000-03-21,57.688331604003906,58.291898699922086,56.89416202423599,57.338898449119554,7083094
2000-03-22,58.06953811645508,58.641337510857824,57.878935614221426,58.19660509922781,6420139
2000-03-23,58.577857971191406,58.89552775977818,56.735391044461174,58.89552775977818,6791050
2000-03-24,61.30976104736328,62.13569468959879,58.48252275648937,58.64135755327905,12683378
2000-03-27,64.48641204833984,65.18527844114543,63.34280917780865,63.53341168430511,12408593
